Specific Aircraft Code,Equipment name,Equipment Code,# of e-seats,WB_NB
73G,B737-700,B737,149,NB
319,,A319,156,NB
7M7,,,172,NB
320,,A320,180,NB
32A,,A320(Sh),180,NB
738,B737-800,B738,189,NB
73H,737-800(winglets),,189,NB
737,,,190,NB
32N,,A320neo,194,NB
7M8,B737 MAX 8,,200,NB
32B,,A321(Sh),220,NB
739,,,220,NB
7M9,,,220,NB
75W,B757-200,B752,228,NB
321,A321,A321,230,NB
7M1,,,230,NB
32Q,,A321neo,244,NB
310,A310,A310,275,WB
753,B757-300,B753,295,WB
AB6,,,345,WB
763,B767-300,B763,351,WB
76W,,,351,WB
767,,,351,WB
734,B767-400,B764,375,WB
764,,,375,WB
788,B787-8,B788,381,WB
332,A330-200,A332,406,WB
787,,,420,WB
789,B787-9,B789,420,WB
333,A330-300,A333,440,WB
339,A330-900neo,A339,440,WB
343,A340-300,A343,440,WB
343,A340-300,A343,440,WB
350,A350,A350,440,WB
351,A350-1000,A351,440,WB
359,A350-900,A359,440,WB
772,B777-200,B772,440,WB
781,B787-10,B780,440,WB
781,,,440,WB
777,,,440,WB
330,,,440,WB
77L,,,440,WB
346,A340-600,A346,475,WB
773,B777-300,B773,550,WB
77W,,,550,WB
74H,,,605,WB
744,B747-400,B744,660,WB
388,A380-800,A388,853,WB